sensor_id,order,train_mse,val_mse,test_mse,val_mape,test_mape,val_mae,test_mae
0,"(2, 1, 2)",0.0037505746082195485,54558.90410555002,29991.571570479762,59593815.911606416,102.94888116564893,205.45408253130532,139.1945757612905
1,"(2, 1, 2)",0.003732953328286696,39519.323696219166,26500.85514046913,168.01891845114764,91.23045816953524,175.7068776474964,124.65992841047472
2,"(2, 1, 2)",0.008348969970681373,45375.35060830414,28962.045115015768,118.67793318035065,70.47143951383664,189.27668595389207,130.87830155100482
3,"(2, 1, 2)",0.001694971768298473,56622.269325436864,28521.98657335515,462.1608627946748,31897646882.179596,211.77996056730882,136.80316071890536
4,"(2, 1, 2)",0.003734719375856294,18552.632699552014,10993.696179238545,130337241.63130389,2052112513.3834448,122.76431420157289,81.596619948874
5,"(2, 1, 2)",0.0011581597235108005,60788.42135559999,28867.034965674575,135.91109649109416,69.69420222596939,217.73495958157312,135.07658534466603
6,"(2, 1, 2)",0.002157729252190352,48233.34935192109,26486.600909796176,486.3794986553314,32641829.12918509,177.52064771576443,123.56004336435623
7,"(2, 1, 2)",0.0018572313991063534,31221.086350334837,23129.561433504998,299877419.294618,28550388.851787698,142.57677206390298,102.69648497269792
8,"(2, 1, 2)",0.0028263150494084862,23440.124864056757,15482.528794706586,197.71809149103598,125109995.6827773,138.40816068263385,98.03236050320186
9,"(2, 1, 2)",0.002412161950228946,48741.13268136769,23086.322693917802,403.51706296940773,165.43229179970882,198.76565936395872,125.3975904149606
10,"(2, 1, 2)",0.004439226123401897,87737.34943327366,47124.14261073973,94831653335.02557,43170242685.82195,253.7641969415367,185.05218997570643
11,"(2, 1, 2)",0.002225648449146399,61538.058620713666,30723.7378238442,471.99373096994304,189.8979715131465,227.28495004769076,136.2021077515322
12,"(2, 1, 2)",0.005414528360842012,101848.69528519092,52361.38764038916,54689034582.347824,25184141061.264427,278.8746915820031,185.83707792778782
13,"(2, 1, 2)",0.002659935261743568,21220.062415476008,10104.096677714067,285.7995257695668,152.48756890500914,128.19640081335356,84.88577549182963
14,"(2, 1, 2)",0.0017265382314481494,36778.09443410759,16191.933218287266,37442374.73167503,56559591.654780336,161.60053599156177,105.37592962891323
15,"(2, 1, 2)",0.0023627517756340745,65501.65692342172,40615.0008925282,245.45040503962858,116.09434907868066,234.4422489529104,158.19802808340728
16,"(2, 1, 2)",0.0023371035611884044,82639.43724090698,39453.034542137815,202.35210039673893,157199712.47783133,256.7692025282556,159.0390230269628
17,"(2, 1, 2)",0.00310576085019263,65125.028628543565,32850.48704452892,209.35190872751068,104.31096607112708,223.40471732733593,147.39318183323553
18,"(2, 1, 2)",0.0033177708484580398,101049.34752714777,42622.78672062086,69804026588.48227,17909873958.267002,274.008663191471,180.17440787858135
19,"(2, 1, 2)",0.002168340087312215,105800.68114289088,47600.47549860323,412.628887092244,201.73138322237017,284.8123527098899,178.87502785572832
20,"(2, 1, 2)",0.0029121225610981025,30885.07999628313,18049.24802615625,325.46206087121146,193.55131037659905,157.1217385857606,108.04243026851888
21,"(2, 1, 2)",0.003610218625148543,10121.368807837898,5626.831136298877,69240022.4013088,154454064.72640347,89.3880288771024,58.500574175119425
22,"(2, 1, 2)",0.003802801719362179,16864.861521371186,10746.84477620046,13187509428.497375,6193673361.307871,110.70723605784728,87.36921226564667
23,"(2, 1, 2)",0.006473963249613049,16731.706985084016,9216.0446196808,207.13972459490958,113.8913255732274,114.03112222204958,81.0579550826104
24,"(2, 1, 2)",0.0016878075382209595,57627.370182436236,25667.241591614133,446.2843497771603,38431208.72097932,215.50693232896302,133.63922685773875
25,"(2, 1, 2)",0.002022684928835595,65585.36643773384,30298.662748745493,338.3738969547133,969.6631847906833,233.7035762477354,137.96006962980087
26,"(2, 1, 2)",0.0016236857862033788,68932.75577575668,30038.951406801392,222.87753442488517,234689216.0952299,229.7651967911841,153.16733345145397
27,"(2, 1, 2)",0.002311001769137679,38106.6049166587,27077.36298653092,920399318.0107646,29570810.91684906,169.53024385017693,129.57489281736895
28,"(2, 1, 2)",0.007830402107959902,38455.77369193822,19160.068421315464,117.78388611887374,261845192.82712227,166.94853013034097,118.22009614052952
29,"(2, 1, 2)",0.002775077098327706,28775.034592673965,15507.219276827382,130.98202166273666,77.49232127508633,146.39679792062964,103.41102411529481
30,"(2, 1, 2)",0.008577536069803032,38259.80121124046,20940.733684498577,84876850.88173456,1856597243.0126877,170.73574093502634,117.00593673711853
31,"(2, 1, 2)",0.002330825261667276,40647.39240118228,26376.629108005724,103004105591.26514,37899057930.288734,176.0586044539477,122.25991319586558
32,"(2, 1, 2)",0.004342070757392643,98708.06553158788,45085.44444435194,258.6079496999878,132.35888101740457,272.76389315183275,180.77343061601582
33,"(2, 1, 2)",0.003825081112066,48065.356477040434,20259.412200313473,361.3685539815467,152.03865613472965,195.8562065061061,121.79125020140802
34,"(2, 1, 2)",0.0024070524671360297,43459.89000086042,24436.992336525323,357432794.5224846,159557802.45429465,192.98086230705107,121.96301059308219
35,"(2, 1, 2)",0.0018417989564483443,95341.62880826028,56264.246364578255,496.82330497369264,229.0500806486659,277.4217909904184,186.13880580605218
36,"(2, 1, 2)",0.0019385368939350616,96093.55816736621,42459.90231829334,4878235.317635688,81229272.87718493,275.8610404792923,171.45950412888135
37,"(2, 1, 2)",0.002005419782568619,77808.20680332021,42578.95208605135,315.01832983009973,1322354093.1489604,250.56342092732703,160.56784859239332
38,"(2, 1, 2)",0.0027213212953766455,48136.51551897537,27048.421999365903,356668577.80045503,217.52382190442273,197.4442378753946,129.50991403636849
39,"(2, 1, 2)",0.003788914661125162,21564.29749582187,28427.963544964718,191.3251119849857,449286790.0223786,126.96344926494648,133.3770690091069
40,"(2, 1, 2)",0.0026535119941665094,70866.80093054782,33231.33115363238,295.45699695605936,141.60045241739837,238.87691071953472,145.68800980643576
41,"(2, 1, 2)",0.0025123291891832812,115530.5910780922,46510.83270227061,109.85503587980045,51.02986000411358,300.2165163486348,169.0909844653272
42,"(2, 1, 2)",0.0028125932305976234,74223.27589380542,37421.82309574137,156.88749976831826,170564764.91870585,236.72486881999137,155.58136721745421
43,"(2, 1, 2)",0.003775453712154204,93705.56511376657,44851.02245057557,211826339.8449353,1985273323.2797987,268.61064294513227,178.7054080081367
44,"(2, 1, 2)",0.0036424505804318118,8909.536536577383,6219.4145382303095,193.2381404807882,166017091.95028105,81.9071786540625,58.16046678541731
45,"(2, 1, 2)",0.0032436710179279157,81220.67206636375,39186.78052724979,134.7360953581456,71.51936689493579,254.5457524026017,157.0194566633194
46,"(2, 1, 2)",0.003262646280630944,15645.569201366721,8829.100792767218,2917750475.2427735,527528887.8690508,110.61355137783217,74.50208674676493
47,"(2, 1, 2)",0.0014944146383849479,40171.276895523195,22434.150791956683,132495542.7643555,124542128.88356969,179.9254374843267,112.43580455729321
48,"(2, 1, 2)",0.0018481811552937726,77075.62976793275,44977.64996420274,239.7984048939285,117.96748670417747,254.53015933175263,162.8780429079822
49,"(2, 1, 2)",0.002157513697007522,13452.676444298813,8133.9822807849405,137.22411226945854,63.44380257864195,100.33664982433845,74.09962537381767
50,"(2, 1, 2)",0.003132275723083122,27574.264167807243,14668.609716215557,333.30770085692853,167.10827856512654,146.64577462620724,99.21524963240198
51,"(2, 1, 2)",0.002015192275299908,74766.39087670187,37008.220838833564,185.6166528244211,125393499.8535834,237.63132237451472,159.55958787845523
52,"(2, 1, 2)",0.0037947778208594317,40127.722416782046,26299.615071819288,140.49942448868651,84.68809892798508,178.83641790817063,125.36981309218524
53,"(2, 1, 2)",0.00268028425829189,49634.87528035518,25830.188402797678,102.40911778055846,59.64769335224317,198.64206678526378,127.49855970662954
54,"(2, 1, 2)",0.001600108886709139,49651.29807849509,21474.193656226435,122923490.1740556,174736338.6041744,195.92189935094373,123.09113094214443
55,"(2, 1, 2)",0.007875955821486019,45162.15146137044,23650.975183030023,137.13796350710194,111546292.18585773,183.72919785229846,132.6522560876405
56,"(2, 1, 2)",0.002085200218415999,87534.7571874798,47526.387461231694,239.93892717172426,141.2744426687732,260.1305056778819,182.6494563546312
57,"(2, 1, 2)",0.009014194661958139,109757.25149022284,66145.05740827721,120.4216647190548,33433920034.79325,286.21194943179785,211.01170941944997
58,"(2, 1, 2)",0.002363601631179808,125180.67804459426,72540.16866849388,119.99906753605876,67.42605909232255,310.9597162969583,212.38997570490025
59,"(2, 1, 2)",0.0014937884856157436,85614.31926661979,34697.847997857556,310638831.3273848,356061667.361396,263.93442446485034,159.2032630703934
60,"(2, 1, 2)",0.003838869188218224,4081.5303842090902,2067.6182099309535,4577412584.342518,751761572.8048304,58.14235684000859,35.77576646218265
61,"(2, 1, 2)",0.0023896690609570086,92328.73226251507,44696.406407027665,245.03541057904906,125.40896328459705,268.4753795018534,167.03386381450383
62,"(2, 1, 2)",0.003046430625255855,18217.353966888797,9347.557441717197,242.6073763695699,114.25924076649794,121.27403235315515,77.33542311403977
63,"(2, 1, 2)",0.002319889693630187,78464.37869732044,41689.78848211984,241.66537640210746,122.51309080618795,251.83457252532952,159.3837877028541
64,"(2, 1, 2)",0.0050553854409741816,47683.68700630728,23499.17785657732,630717619.1976472,1730364801.8396707,194.0608875671232,131.25164192132408
65,"(2, 1, 2)",0.0025044547437682273,64382.36546800319,34870.00519856677,1714194078.551137,266.8645758928919,233.27470879011074,148.4938743260284
66,"(2, 1, 2)",0.0017959412452447643,59937.490333625945,27284.362191846605,540.6476603639926,82515702.0499837,217.58065221179072,140.33079265664884
67,"(2, 1, 2)",0.002761866022361232,55744.40109382506,28834.019260128665,123.93103447396734,75.68148953057184,202.5912300327322,136.9768076059173
68,"(2, 1, 2)",0.006092254237367994,3601.803247945948,2204.2595958051334,91.74303185815741,64.39457705368096,51.25022324744985,37.816963791740555
69,"(2, 1, 2)",0.0030881939761181676,91701.8442101589,53890.99379146578,138.61866028146815,92.8717429229388,258.1143504821039,180.97617333021932
70,"(2, 1, 2)",0.004448529406798363,21144.149869268866,9772.24623235503,141641329276.11966,44673476583.465195,131.87984169163724,75.62259138824486
71,"(2, 1, 2)",0.0022879012435158053,98756.38272709442,49639.79018490335,326.90166130269824,147.8265163253757,278.757523146329,177.77032037735214
72,"(2, 1, 2)",0.0033098074048951336,56649.16918408652,29259.350494385457,137.81707086971184,90.9112575301364,205.59482627489248,138.8825207483014
73,"(2, 1, 2)",0.0018340518843078953,75885.10360110659,37358.75815040012,380.9701944935487,186.59749724003967,252.31416825613255,151.12043287551813
74,"(2, 1, 2)",0.004647041527304405,17843.22235116924,11120.253219106937,109443000084.71298,43380669085.7705,119.17048308289499,83.90633974807093
