lags,val_mse,test_mse,val_mae,test_mae,val_rmse,test_rmse,val_smape,test_smape,val_mape,test_mape
3,1609.5099834092434,1634.3407494129126,25.17067408969227,25.60355349918748,40.11869867542121,40.42698046370657,18.65484244900576,18.453287973850845,,
5,1695.4945326687823,1690.088206964857,25.904134908300648,26.370708363999903,41.17638319071725,41.110682394784654,19.28987402242456,19.001426779154286,,
7,1638.3878214554463,1636.910500946396,25.202381683406465,25.53152094814632,40.47700361261251,40.458750610299326,18.59006499900769,18.389005337325827,,
3,1624.0370867110648,1655.16131236776,25.10100805318482,25.75958754306583,40.29934350223419,40.683673781601385,18.382950000524765,18.35910104596396,,
5,1596.6634453986485,1600.7534329379114,24.91252342800897,25.38070486650209,39.95827130142955,40.00941680327159,18.53947756987224,18.34912122521112,,
7,2228.773150188088,2149.250915941954,31.397672195312875,30.98383149719689,47.20988403065706,46.36001419264186,23.84662842668861,23.083761796111894,,
3,1656.1391649956397,1670.5861297031192,25.476880026522657,26.0088782691608,40.695689759428326,40.87280427990132,,,896428856930.8604,601123236909.2898
5,1657.2830857213555,1644.194171680993,25.626507812436003,25.87923375288465,40.70974190192509,40.54866424040369,,,860350220390.2878,592728388326.2728
7,1629.0258029612792,1653.1334131263477,25.44347909188128,26.02324842994237,40.36119179312325,40.65874337859383,,,862126052086.9945,591989817801.4336
3,1477.197376514705,1507.2075413694424,23.717570041206443,24.178142309602705,38.43432549837066,38.82277091307938,,,796550994820.345,543170851494.0547
5,1650.8989283845651,1653.7867164991185,25.374262933510973,25.79619217512453,40.63125556003119,40.666776568829725,,,854700517118.2892,574851283661.8911
7,1486.094133113677,1508.0773294903547,23.777569732069185,24.194505085656136,38.54989147992089,38.8339713329754,,,792303956829.387,539875787699.3138
3,1661.3132351248819,1639.5966080593685,25.400804689509553,25.679587794074642,40.75921043304055,40.49193262934443,,,878852961855.3049,589205611805.4846
5,1484.6512211092158,1516.7265697795433,23.740716918023672,24.10601982013891,38.53117207027598,38.945173895869864,,,782174809279.2448,536023407466.34534
7,1514.0618456571067,1521.062701971603,24.0227006810222,24.370663124937682,38.91094763247365,39.000803863146245,,,823812908002.2704,550312047007.4896
